N,Title,Nchar
18,Immune-metabolic Heterogeneity and Clinical Implications in Primary Sjogren’s Syndrome Revealed by Molecular Classification of Salivary Glands,142
19,A Phase 3 Study of Repeat Injection of TLC599 in Osteoarthritis of the Knee: Benefits to 52 Weeks,97
20,"Telitacicept, a Human Recombinant Fusion Protein Targeting and Neutralizing B Lymphocyte Stimulator (BlyS) and a Proliferation-Inducing Ligand (APRIL), in Rheumatoid Arthritis (RA) Patients with an Inadequate Response to Methotrexate (MTX): A Randomized, Double-Blind, Phase 3 Study",282
21,You Can’t Get This from a Doctor: The Role of Support Groups for Adults Aged 25-55 Living with Arthritis,104
22,Patient Centered Care: The Complete Picture,43
23,Lupus with Slime: Improve QOL and Increase ROM in SLE with Slime,64
24,Bouncing Back: How I Found My Running Shoes Using a Rebounder for My Psoriatic Arthritis,88
25,Relief Redefined: A Patient’s Journey to Reducing the Impact of Her PsA Flare Ups,81
26,Dana’s Data Dashboard: Applying a Familiar Framework for Efficient and Effective Health Management,98
27,"How “Coming Out” About My Lupus Diagnosis Allowed Me to Connect With Patients, Get Involved With Research, and Spread Awareness",127
28,Finding Gratitude in Adversity: The Impact of Finding the Right Rheumatologist,78
29,Practicing Mindfulness to Improve Quality of Life,49
30,Saved by Plants: How a Necessary Lifestyle Change Led to a Happier Life with Decreased Rheumatoid Arthritis Pain and Fatigue,124
31,"We Suffered For Decades, But Then She Was Born",46
32,Sjögren’s-Fatigue: Non-Therapeutic Lifestyle Adjustments to Help Manage My Most Problematic Symptom,99
33,"My Four Pillars of Wellness: How Sleep, Diet, Exercise and Stress Reduction Enable Me to Define My Life and not let Sjögren’s Define Me",135
34,Putting Lived Experience into Action: Flipping the Script on Living with a Chronic Disease,90
35,Toward a Frontier Beyond the Barriers of Position and Prejudice,63
36,Peer Health Coaches Help Scleroderma Patients Cope with Isolation,65
37,Utilizing Support Networks to Improve Patient Outcomes,54
38,Loss of the Complement Regulator CD55 Alters Marginal Zone B Cell Homeostasis,77
39,Population Pharmacokinetic and Pharmacodynamic Analyses of Obexelimab in Healthy Volunteers and in Patients with Rheumatoid Arthritis or IgG4-Related Diseases,158
40,Expanded Extrafollicular B Cells Were Improved by RTX in IgG4-related Disease,77
41,CD22 X CD79b Bispecific Ab Potently Inhibits B Cell Activation and Plasmablast Accumulation,91
42,Obexelimab Inhibits B Cell Activation and May Interfere with B Cell Chemotaxis in IgG4-Related Disease,102
43,Preclinical Characterization of a Novel anti-CD40 Antagonist Antibody-glucocorticoid Conjugate with Superior Preclinical Efficacy and Favorable Safety Profile,158
44,Targeting NF-κB Signalling in B Cells from ANCA-associated Vasculitis Impairs B Cell Biology as a Potential Novel Target,120
45,Differential Induction of Anti-Muscarinic Type-3-Receptor Antibodies by Immunization with 4-Hydroxy-2-nonenal-Modified Ro60 in BALB/c Mice,138
46,Impact of Psilocybin on Peripheral Cytokine Production,54
47,A Potential Mechanism for Major Adverse Cardiac Events Associated with JAK Inhibitors: JAK Inhibitor Withdrawal Causes Urokinase Release by Primed STAT Signaling,161
48,Clock Gene Bmal1 Promotes Transcriptional Activity of NF-κB to Regulate Production of Inflammatory Mediators in RA-FLS,118
49,Immune-cell Derived Cytokines Synergistically Interact to Drive Synovial Fibroblast Invasive Function and Metabolic Capacity,124
50,A Proliferating T Cell Signature in Blood Is Associated with Response to JAK Inhibitor Therapy in Rheumatoid Arthritis Patients,127
51,The 330 Genetic Risk Loci of Systemic Lupus Erythematosus (SLE) Now Known Are Consonant with Multiple Causal Mechanisms Involving Epstein-Barr Virus (EBV)-Encoded Transcription Co-factors (TFs) in EBV-Infected B Cells,217
52,Genetic Predisposition to a Positive Antinuclear Antibody Test Is Not Associated with Increased Risk of Disease,111
53,Role of TP53 in Inflammatory Reprogramming of Rheumatoid Arthritis Synovial Fibroblasts,87
54,Xist Ribonucleoproteins Promote Female Sex-biased Autoimmunity,62
55,Alternative Splicing and Expected Protein Changes in Muscle Biopsies from Different Types of Idiopathic Inflammatory Myopathies,127
56,Use of High-plex Data Reveals Novel Insights into the Temporal Artery Processus of Giant Cell Arteritis,103
57,The Inflammatory Proteome in Sjögren’s Syndrome Identifies New Biomarkers and Relevant Clinical Subgroups,105
58,Shared Genetic Susceptibility Between Rheumatoid Arthritis and Bipolar Disorder: Analyses from Genome-Wide Association Studies,126
59,Validation of a Transcriptomic-Based Machine Learning Model to Establish the Endotype of SLE Patients,101
60,Proteomic Analysis of Plasma-derived Extracellular Vesicles Renders Glutathione Peroxidase 3 a Biomarker for Dermatomyositis,124
61,Detection of Synovial Signatures in Peripheral Blood of Patients with Rheumatoid Arthritis via a Novel Blood-Based DNA Capture Assay,132
62,Relationship Between Genetic Variants in Cannabinoid Receptor 2 and Self-Reported Effectiveness of Cannabis for Pain Management in Rheumatoid Arthritis,151
63,Mapping Cellular Landscape of Esophageal Epithelium in Systemic Sclerosis Using Single-cell Transcriptomics,107
64,Association of HLA-DRB1 and ANKRD55/IL6ST Regions with Polymyalgia Rheumatica Diagnosis: A Genome Wide Association Study from UK Biobank and FinnGen,148
65,Adenosine Deaminase 2 Is Expressed as a Short Isoform Lacking Deaminase Activity in the Endothelium: Implications for DADA2 Vasculitis,134
66,Post-translationally Modified Fibrinogen Activated Macrophages Drive the Expression of Fibrotic Genes in Human Lung Fibroblasts,127
67,A Pathogenetic Model of IgG4-related Disease Developed from Familial IKZF1 and UBR4 Gene Variants,97
68,A Systematic Approach for Identifying Causal Variants and Their Target Genes on JIA Risk Haplotypes,99
69,Quantification of the Escape from X Chromosome Inactivation with the Million Cell-scale Human Blood Single-cell RNA-seq Datasets Reveals Heterogeneity of Escape Across Immune Cells and Escape in the Autoimmune Disease Conditions,228
70,A Novel Transcriptome-Based Machine Learning Pipeline Predicts Phenotypes of Lupus Patients,91
71,Genome-Wide Association Study for Loci Associated with Positive Antinuclear Antibodies in a Large Hospital Biobank,114
72,Using Genotyping and Functional Data from Monocytes to Identify Risk-Driving SNPs on JIA Risk Haplotypes,104
73,Using Genotyping and Chromatin Data in CD4+ T Cells to Nominate Causal Variants on JIA Risk Haplotypes and to Identify Their Target Genes,137
74,New Histological Approach in Spatial Transcriptomics Implicates Glandular Cell Involvement in Pathophysiology of Sjögren’s Disease,130
75,Specific Binding of Uric Acid to NDFIP1 Associates with Hyperuricemia-induced Ferroptosis,89
76,Enrichment of Rare Variants of Hemophagocytic Lymphohistiocytosis Genes in Systemic Juvenile Idiopathic Arthritis,113
77,Cytokine-induced Transcriptome Modification Elucidates the Similarity and Dissimilarity Across 10 Immune-related Diseases,121
78,Non-canonical NF-κB Signalling Is Required for Extrathymic AIRE Expression and Immunoregulatory Molecules in Cells of the Dendritic Lineage,139
79,Interactions Between Synovial Fibroblasts and Macrophages: Implications for Tissue Remodeling in Chronic Inflammatory Diseases and Macrophage Differentiation in Response to the Immune Microenvironment,200
80,Effect of the Inflammatory Microenvironment Induced by Monocytes on Fibroblasts and Modulatory Action of Human Dental Pulp Stem Cells,133
81,Assessing the Ability of Human Dental Pulp Stem Cells to Modulate the Macrophages Phenotype,91
82,Aberrant Mevalonate Metabolite Farnesyl Pyrophosphate-Induced Neutrophil Hyperactivation in Behçet’s Disease Pathogenesis,121
83,"Discovery and Characterization of a Selective, Orally Bioavailable PAD4 Inhibitor to Target NETs Driven Autoimmune and Inflammatory Diseases",140
84,"Circulating Monocytes in RA, SSc, and SLE Have Radically Altered and Unique Transcriptional & Epigenetic Profiles",113
85,Identification of Specific Monocyte Epigenetic Signatures in Sarcoidosis and Tuberculosis,89
86,Monosodium Urate Crystals Activate an Immune Tolerance Program That Restrains the Activation of Inflammatory Signaling in Macrophages During Gout Flares,152
87,Soluble Uric Acid Is an Endogenous Inhibitor of CD38,52
88,"Anti-Citrullinated Histone Antibody CIT-013, a Dual Action Therapeutic for Neutrophil Extracellular Trap Associated Autoimmune Disease",134
89,CD14+CD64+ Classical Monocytes Are the Main Producers of IL-23 at the Enthesis,78
90,"Possible Involvement of TLR4 in the Pathogenesis of Primary Sjögren’s Syndrome Through Induction of the Expression of BAFF Receptor, BR3 in Peripheral Monocytes",160
91,Nintedanib Downregulates the Profibrotic M2 Phenotype of Macrophages Obtained from Systemic Sclerosis Patients Affected by Interstitial Lung Disease,148
92,"RA Monocytes and Monocyte-Derived Macrophages Display Heightened Inflammatory Responses, Reduced Endocytic Capacity and Distinct TET Expression Compared to PsA Monocytes",169
93,Elevated LINE-1 Expression in SLE Keratinocytes Leads to LINE-1 Reverse Transcriptase-dependent Type I Interferon Responses,123
94,The Activation of cGAS-STING Pathway in Systemic Lupus Erythematosus,68
95,GM-CSF receptor/SYK/JNK/FOXO1/CD11c Signaling Enhances Cell Migration to Promote Atherosclerosis,96
96,Macrophage Extracellular Traps Induced by Monosodium Urate or Calcium Pyrophosphate Crystals Form Independently of NLRP3 Inflammasome Activation,144
97,GM-CSF by Natural Killer Cells Drives Inflammatory Arthritis in HIV-Infected Humanized Mice,91
98,Serpin B1 Modulation of Immune Complex-Mediated Neutrophil Activation and NET-formation Requires Its Chymotrypsin-like Inhibitory Activity,138
99,Discovery of a RIPK2 Scaffolding Inhibitor for the Treatment of Joint Autoimmune Diseases,89
100,"Differential Metabolic Profiles, Activation and Circadian Dynamics in Rheumatoid Arthritis and Psoriatic Arthritis Circulatory Monocytes",136
101,Investigating Macrophage Repopulation in the Synovium,53
102,Correlation of Anti-DFS70 Autoantibodies by ELISA with HEp-2 Cells DFS Pattern by IFA,85
103,Mitochondrial Dysfunction and Fatigue in Sjögren’s Disease,58
104,Dimethyl Fumarate Modulates T Cell Metabolism and Function in Systemic Lupus Erythematosus Patient Samples,106
105,Anti-TNFR2 VHH Agonistic Antibodies Promote and Stabilize Treg Immunosuppressive Activity,89
106,All-trans Retinoic Acid (atRA) Enhances FoxP3 Protein Stability Under Inflammatory Conditions Through Altering the FoxP3 Protein-interactome,140
107,Activation of Joint CD8+ TRM Localize Autoantibody Mediated Arthritis,69
108,"Sex Based Differences in Morphological and Functional Niches of the Human Thymus, Identified by Non-supervised Spatial Transcriptomic Profiling, May Underlie Sex Bias in Autoimmune Disease",188
109,Circulating T-cell Immunosenescence Is High in Patients with Immune-Mediated Inflammatory Diseases (IMIDs) and Is Associated with Interferons,141
110,"PD-1hi Cells Are Highly Present in the Rheumatoid Joint, and Express Regulatory Capacities",90
111,Distinct PD-1 Receptor Engagement Leads to Different Pharmacodynamic Effects,76
112,"Proteomic, Transcriptomic, and T-Cell Receptor (TCR) Profiling of Synovial Integrin-Expressing (InEx) T Cells in Axial Spondyloarthritis (axSpA)",144
113,Characterizing GMCSF Producing T-cells in Rheumatoid Arthritis and Effect of Methotrexate on Them,97
114,Circulating CD4+CXCR5-PD-1hiICOS+ Cells Are Elevated in Patients with Newly Diagnosed Giant Cell Arteritis and Associate with the Clinical Outcome,146
115,Circulating CD4+CXCR5+PD-1hi Follicular Helper T Cells Are Elevated in Patients with Rheumatoid Arthritis and Predict Treatment Response to Abatacept or TNF Blockers,165
116,CD4 T Cell Repertoire Features in RA Patients with High-risk HLA-DRB1 Alleles,77
117,"Pharmacological Inhibition of PRMT5 Demonstrates Broad Efficacy in Multiple Preclinical Models of Autoimmunity and Inflammation by Suppressing Th1, Th17 and TNF-Mediated Inflammatory Responses",192
118,RA Disease Activity Influence the Frequency and Phenotype of Citrulline Reactive CD4 T Cells in DRB1*04:04 ACPA+ RA Patients,124
119,"A VAV1-Directed Molecular Glue Degrader, MRT-6160, Reduces Joint Inflammation in a Collagen-Induced Arthritis Autoimmune Disease Model",134
120,Expression of mRNA Vaccine Antigen in Hematopoietic Cells Is Necessary for Induction of Optimal Vaccine-Specific CD4+ T Cell Responses,134
121,Excess IL-18 Protects from Experimental Autoimmune Encephalomyelitis Mainly via Preferential Augmentation of Suppressor/Regulatory over Autoreactive T-cell Function,164
122,Fibroblasts Promote Upregulation of Cannabinoid Type 2 Receptor on Inflammatory Cells in Dermatomyositis,104
123,"Optimizing PD-1 Agonist Signaling with Membrane Proximal Binding of Rosnilimab, a Clinical Stage PD-1 Agonist IgG1 Antibody",123
124,"Immune Checkpoint Inhibitor Therapy Expands an Activated, anti-PD-1 Drug-bound CD8 T Cell Population That Is Clonally Linked in Blood and Synovial Fluid of ICI-arthritis Patients",178
125,SLAMF4 Orchestrates the Pathological Cytotoxic Response of CD4+ T Cells in Rheumatoid Arthritis,95
126,"Pre-Clinical Characterization of MTX-101, a Novel Bispecific CD8 Treg Modulator with the Potential to Restore CD8 Treg Functions in Patients with Rheumatological Autoimmune Diseases",181
127,Reduced Frequency of RORγt+ Regulatory T Cells Is Associated with Secukinumab Response in Axial Spondyloarthritis,113
128,Impaired X-Chromosome Inactivation Maintenance in T Cells Is Associated with Features of Reduced Disease Severity in a Toll-Like Receptor 7-Driven Model of Systemic Autoimmunity,177
129,Multi-omics Immune Profiling of Cytotoxic T Cells from Ankylosing Spondylitis Patients Identified a Subset of Clonally Exapnded CTLs That Evade Immune Exhaustion,161
130,Single Cell RNA-seq and Mass Cytometry Reveal a Cytotoxic CD8 Effector T Cell Population Associated with Interstitial Lung Disease in Systemic Sclerosis Patients,161
131,Granzyme K Elicits a New Pathway for Complement Activation in RA Synovium,73
132,Kynurenine Is a Proinflammatory Metabolite That Activates a Positive Feedback Loop of Rab4A-dependent CD98 Expression and mTORC1 and mTORC2 Activation in SLE,157
133,Performance Assessment of Lupus Anticoagulant Tests Using Taipan and Ecarin Snake Venom Clotting Times: An International Study from Antiphospholipid Syndrome Alliance for Clinical Trials and International Networking (APS ACTION) Core Laboratories,246
134,Transient Ischemic Attack in Antiphospholipid Antibody-positive Patients: Retrospective and Prospective Results from the AntiPhospholipid Syndrome Alliance for Clinical Trials and InternatiOnal Networking (APS ACTION) Clinical Database and Repository (“Registry”),263
135,Predictors of Mortality in Antiphospholipid Antibody Positive Patients: Prospective Results from Antiphospholipid Syndrome Alliance for Clinical Trials and International Networking (APS ACTION) Clinical Database and Repository “Registry”,237
136,Cell-bound Complement Activation Products in Antiphospholipid Antibody-positive Patients Without Other Systemic Autoimmune Diseases,131
137,The Clinical Relevance of Different Antiphospholipid Antibody Profiles in Pediatric Rheumatology Patients,105
138,Non-Criteria Antiphospholipid Antibodies and Calprotectin as Potential Biomarkers in Pediatric Antiphospholipid Syndrome,120
139,The Subtype and Prognosis of Acute Myocardial Infarction in Antiphospholipid Syndrome Patients,94
140,"Criteria and Non-criteria Antiphospholipid Autoantibodies Screening in Women with Unexplained Fetal Death, Pre-eclampsia And/or Fetal Growth Restriction: A Cross-sectional Study",177
141,Cluster Analysis of Antiphospholipid Antibodies Associated Adverse Pregnancy Outcome Patients: Based on a 13-year Longitudinal Cohort Study,139
142,Characterization of B-Cell Subsets in Antiphospholipid Syndrome Patients: Implications for Disease Phenotype and Pathogenesis,125
143,Positive Antiphospholipid Antibodies Are Associated with a Higher Risk of Cerebral Microbleeds,94
144,Impact of Antiphospholipid Syndrome on Mortality of Hospitalized Ischemic Stroke Patients: A Retrospective Analysis of the National Inpatient Sample Database 2020,162
145,Decoding Antiphospholipid Syndrome Laboratory Test Outcomes in a Large Multicenter Electronic Health Record Database,116
146,Persistent Prothrombotic Activation of Platelet Pannexin 1 Channels in Antiphospholipid Syndrome,96
147,Neutrophil Extracellular Traps as Mediators of Antiphospholipid Antibody-Induced Trophoblast Dysfunction and Fetal Loss,119
148,Hippo-YAP1-CCN2 Signaling by Microvascular Endothelial Cells Licenses Vascular Smooth Muscle Cell Proliferation in Antiphospholipid Syndrome,140
149,Molecular Stratification of Antiphospholipid Syndrome Patients Through Integrative Analysis of the Whole-blood RNA Transcriptome,128
150,Serum Myeloperoxidase (MPO)-DNA Complexes and Serum Calprotectin Differentiate Isolated Thrombotic Antiphospholipid Syndrome from Isolated Obstetric Antiphospholipid Syndrome,174
151,Platelets Are Highly Activated and Could Participate in Immune Abnormality of APS,81
152,Risk Factors of First Thrombosis in Obstetric Antiphospholipid Syndrome,71
153,Integrated Metabolomic and Proteomic Analyses Stratified Patients with Antiphospholipid Syndrome According to Their Atherothrombotic Risk,137
154,The Patient Journey to a First Diagnosis of Systemic Sclerosis: Temporal Disease Pattern Identification Using Machine Learning and Data Mining Among US and Japanese Patients,173
155,Physical Performance Among Individuals with Systemic Lupus Erythematosus in a Diverse Population-Based Cohort,109
156,Mortality-related Health Metrics in Systemic Autoimmune Diseases: An Epidemiological Analysis of a Nationwide Register-based Cohort,131
157,"Incidence and Prevalence of Systemic Lupus Erythematosus in Urban China, 2013-2017: A Nationwide Population-based Study",119
158,High Prevalence of Mental Health Disorders Among Patients with Rheumatoid Arthritis and Systemic Lupus Erythematosus,116
159,"Depression, Anxiety and Post-Traumatic Stress Disorder in Association with Cardiovascular Disease Among Patients with Systemic Lupus Erythematosus and Rheumatoid Arthritis in the All of Us Research Program",205
160,Improving Interpretation of Work Outcomes in Patients with Inflammatory Rheumatic Musculoskeletal Disease: General Population Reference Curves for Work Ability and At-work Productivity,184
161,Utility of the 2019 EULAR/ACR SLE Classification Criteria Score as Predictor for Mortality and Hospitalizations in a Population-Based Cohort: The Lupus Midwest Network,167
162,"Decreasing Ischemic Heart Disease, but Increasing Cancer Among the Underlying Causes of Death in Decedents with Lupus Nephritis",127
163,Epidemiology and Retrospective Case-Control Analysis of IIM in the US Veteran Population,88
164,"Time Trends, Cumulative Incidence, and Impact on Survival of Interstitial Lung Disease in Systemic Sclerosis: Results from a Population-based Cohort Study",154
165,"Incidence, Trends, and Determinants of Multimorbidity in Systemic Sclerosis: Data from a Population-based Cohort",112
166,Rising Incidence and High Mortality of Systemic Sclerosis: A Population-based Cohort Study (2010-2020),102
167,"Association of HLA-DRB1 Alleles with Coronary Artery Calcium, Abdominal Aortic Calcium, and Carotid Intima-media Thickness in a Multi-ethnic Community-living Population",168
168,Identifying Antinuclear Antibody Positive Individuals at Risk for Systemic Autoimmune Disease: Development and Validation of a Real-Time Risk Model,147
169,Feasibility of a Real-Time Risk Model to Identify Antinuclear Antibody Positive Individuals at Risk for Systemic Autoimmune Disease,131
170,COVID-19 Vaccination-related Delayed Adverse Events Among Patients with Systemic Lupus Erythematosus: Results from the COVAD Study,130
171,Stressful Life Events in the Year Prior to Their Diagnosis Are Associated with Adult and Pediatric Systemic Rheumatic Diseases,126
172,Cancer Incidence and Risk Factors in Patients with Newly Diagnosed Systemic Lupus Erythematosus,95
173,The Prevalence and Risk Factors of Retinal Toxicity Associated with Long-term Hydroxychloroquine Use,100
174,Incidence of and Risk Factors for Myelodysplastic Syndromes in Patients with Rheumatologic Diseases,99
175,Prevalence and Incidence of Sjögren’s Syndrome: A Systematic Literature Review,78
176,Systemic Vasculitides in Portugal and Brazil: Preliminary Results from the Reuma.pt/vasculitis Registry,103
177,Extent of Recording of 2019 EULAR/ACR Classification Criteria for Systemic Lupus Erythematosus in a UK Healthcare Database,122
178,"In-patient Outcome Difference in Systemic Lupus Erythematous Patient Between Medicare and Non-Medicare Group, a Nationwide Analysis",131
179,New-Onset Systemic Autoimmune Diseases Following COVID-19 Vaccination – Results from the COVAD Study,100
180,Cancer Incidence in Familial Mediterranean Fever,48
181,COVID-19 Infection in People with Immune Mediated Inflammatory Diseases Who Received SARSCo-V2 Vaccines,103
182,Sexual Health and Function Screening in Patients with Rheumatic Diseases,72
183,Sexual Health and Self-Perception in Rheumatologic Patients: Has Your Rheumatologist Ever Talked to You About Sexual Health?,124
184,Leukotriene Inhibitors Effect on Post-Traumatic Osteoarthritis: A Real-World Evidence Comparative Effectiveness Study,117
185,"Recreational Activities in Adults with Rheumatoid Arthritis: Relevance, Difficulty, and Associations with Clinical Outcomes",123
186,Impacts of Social Determinants of Health and the Immune System in Adults with Acute-to-Chronic Low Back Pain: An Observational Study,132
187,"Self-reported Levels of Physical Activity and the Association to Pain, Fatigue, Anxiety and Depression Among Patients with Idiopathic Inflammatory Myopathies",157
188,"Long Covid in Persons with Self-Reported Arthritis – Symptoms, Associated Factors and Functional Limitations",108
189,Diminished Vibration Perception and Greater Pressure Pain Sensitivity Are Associated with Worse Knee Osteoarthritis Outcomes Across Sex and Race,144
190,Impact of Social Determinants of Health (SDoH) on Survey Response Times Among Lupus Patients,92
191,Cost Analysis of Subcutaneous Methotrexate Compared to Oral Methotrexate Treatment for Rheumatoid Arthritis,107
192,Factors Associated with Adherence to Cervical Cancer Screening in Ethnically Diverse Women with Systemic Lupus Erythematosus,124
193,"Discovering the Potential of Digital Biomarkers in the Work Process of the Rheumatology Healthcare Professionals, a Design Thinking Approach; Preliminary Results of the Healthcare Professionals Perspective",205
194,Analyzing User Log Data to Track Provider Use of an EHR-based Dashboard for Rheumatoid Arthritis Outcomes,105
195,Understanding the Economic Impact of Autoimmune Eye Disease in the United States,80
196,Spine and Sacroiliac Joints Findings in Young Males and Females with Chronic Back Pain Undergoing Magnetic Resonance Imaging in Clinical Practice,145
197,Differences and Similarities Between the EULAR/ASAS-EULAR Recommendations and National Recommendations for Treatment of Patients with Psoriatic Arthritis and Axial Spondyloarthritis Across Europe,195
198,"Assessing Reproductive Health Counseling and Provider Attitudes in Rheumatology Post Roe v. Wade in Houston, Texas",114
199,Uncovering Discrepancies: Analysis of Glucocorticoid Exposure Among Patients with Rheumatoid Arthritis in Electronic Health Record Data versus Medicare Claims,158
200,Development and Validation of a Virtual Musculoskeletal Examination Method for Disease Activity Assessment in Rheumatoid Arthritis Patients,139
201,Hypothyroidism Is Associated with Worse Clinical and Utilization Outcomes After Primary Total Knee Arthroplasty,111
202,Annual Economic Burden for Patients with Familial Hypophosphatemia in the United States,87
203,Healthcare Resource Utilization Associated with Tumor-Induced Osteomalacia: Review of Patient Histories Prior to Entry in Clinical Trial UX023T-CL201,149
204,What Are the Characteristics of a Cost-Effective Psoriatic Arthritis Biomarker Test? An Early Health Technology Assessment,122
205,Added Value of Anti-HMGCR and Anti-SRP Antibodies in the Diagnosis of Immune Mediated Necrotizing Myopathy: An Outcome and Cost Comparison from the USA Perspective,163
206,Gender Equity Amongst Rheumatology Professionals: Preliminary Findings of the Coalition for Health and Gender Equity E-survey (CHANGE Group),140
207,A Conceptual Framework to Characterize the Indirect Burden of Systemic Lupus Erythematosus (SLE): Findings from Qualitative Patient Interviews,142
208,Barriers and Strategies to Enhance Patient Research Partner Involvement in Rheumatology Research: A Systematic Literature Review,128
209,Review of Published Literature Reporting Economic Burden of Treatment Switching in Rheumatoid Arthritis,103
210,"Evaluation of Healthcare Utilization in Members with Rheumatoid Arthritis, Psoriatic Arthritis, and Systemic Lupus Erythematosus",128
211,Predicting Cost-Related Medication Non-Adherence in US Adults with Chronic Arthritis: A Machine Learning Approach,113
212,"Impact of Social Determinants of Health Factors on Medication Adherence in Members with Rheumatoid Arthritis, Psoriatic Arthritis, and Systemic Lupus Erythematosus",163
213,"Cost-Related Medication Non-Adherence Among US Adults with Chronic Arthritis: Trends, Comparisons, and Disparities",114
214,Traditional and Lupus-Specific Risk Factors for Cardiovascular Events Among Patients with Systemic Lupus Erythematosus,118
215,Social Disparities and Pathology Markers at Lupus Nephritis Diagnosis Predict Worse Kidney Outcomes,99
216,Multiplicative Impact of Adverse Social Determinants of Health on Outcomes in Lupus Nephritis: A Meta-analysis and Systematic Review,132
217,Increased Prevalence of and Acute Hospital Events Among Medicare Systemic Lupus Erythematosus Patients Living in Socially Vulnerable Counties in the United States,162
218,Impact of Neighborhood-level Child Opportunity on Disease Activity in Children with Lupus,89
219,Barriers and Facilitators to Recruiting Underrepresented Participants for Clinical Trials: Insights from the Lupus Clinical Investigators Network (LuCIN),153
220,Material Need Insecurities Are Associated with Worse Patient-Reported Outcomes Among Individuals with SLE,105
221,Classifying Individuals with Rheumatic Conditions as Financially Insecure Using Electronic Health Record Data and Natural Language Processing: Algorithm Derivation and Validation,178
222,Retention in Rheumatology Care and on Hydroxychloroquine and SLE Outcomes by Neighborhood Disadvantage: A Medicare Cohort Study of Acute Care and Kidney Failure,160
223,Advancing Health Equity with Lupus Stakeholders to Close Care Gaps and Disparities,82
224,Association Between Area Deprivation Index and Organ Damage Accumulation in a Statewide Incident Lupus Cohort,109
225,Influence of Social Support on Systemic Lupus Erythematosus (SLE) Outcomes in a Health Disparity Population,107
226,Racial Disparities in Self-reported Extent and Reasons for Nonadherence in SLE,78
227,Reproductive Health Discussions Between Rheumatology Providers and Systemic Lupus Erythematosus Patients: A Survey of English and Spanish-Speaking Patients,155
228,Demographic and Clinical Factors That Contribute to Clinical Study Enrollment in Systemic Lupus Erythematosus,109
229,Social Vulnerability Associations with Mortality in a Lupus Cohort,66
230,Reproductive Health Conversations with a Primarily Hispanic Systemic Lupus Erythematosus Population: Influences and Barriers,124
231,Assessing Cardiovascular Risk in Black and Latino Patients with Systemic Lupus Erythematosus,92
